,awair_device_uuid,controller_id,description,details,device_class,device_id,gateway_address,gateway_id,handler_id,location_general,location_specific,receiver,time,value
22138,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:47:35-05:00,117.6
22139,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:47:45-05:00,117.7
22140,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:47:55-05:00,117.8
22141,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:48:05-05:00,117.7
22142,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:48:15-05:00,117.6
22143,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:48:25-05:00,117.9
22144,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:48:35-05:00,118.0
22145,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:48:45-05:00,118.2
22146,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:48:55-05:00,117.7
22147,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:49:05-05:00,117.9
22148,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:49:15-05:00,117.7
22149,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:49:25-05:00,117.8
22150,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:49:35-05:00,117.9
22151,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:49:45-05:00,117.9
22152,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:49:55-05:00,117.7
22153,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:50:05-05:00,117.9
22154,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:50:15-05:00,117.7
22155,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:50:25-05:00,117.6
22156,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:50:35-05:00,117.9
22157,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:50:45-05:00,116.7
22158,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:50:55-05:00,117.4
22159,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:51:05-05:00,117.4
22160,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:51:15-05:00,117.9
22161,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:51:26-05:00,117.7
22162,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:51:36-05:00,117.8
22163,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:51:46-05:00,117.6
22164,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:51:56-05:00,117.2
22165,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:52:06-05:00,117.2
22166,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:52:16-05:00,117.7
22167,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:52:26-05:00,117.4
22168,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:52:36-05:00,117.7
22169,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:52:46-05:00,118.0
22170,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:52:56-05:00,117.8
22171,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:53:06-05:00,117.9
22172,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:53:16-05:00,117.3
22173,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:53:26-05:00,116.6
22174,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:53:36-05:00,116.7
22175,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:53:46-05:00,117.0
22176,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:53:56-05:00,117.0
22177,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:54:06-05:00,117.0
22178,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:54:16-05:00,116.6
22179,awair-omni_16168,,Classroom,,undefined,70886b1239a5,,c0:98:e5:c0:00:38,,UVA,120 Olsson,http-awairlocal-publish,2021-12-07 08:54:26-05:00,117.0
